ZIP,count,Total,percent_male,MedianAge,percentCollegeDegree,MedianIncome,percent_own
92310,2,9049,0.578074925,22.7,1.4,39527,0.011708586
95903,,1981,0.628975265,22.4,1.3,34141,0.01171875
32227,,2800,0.6675,23.4,6.7,30846,0.011990408
84056,,3549,0.488870104,22.3,3.6,35809,0.013347023
10996,,7013,0.726507914,20.9,0.4,56806,0.01459854
75207,1,9561,0.734023638,32.7,1.2,15777,0.015082956
58704,,4970,0.5277666,22.1,1.1,32816,0.015151515
78419,,841,0.432818074,25.5,5,26379,0.015873016
79908,,2847,0.599227257,22.9,0,52219,0.016513761
21005,1,2198,0.542766151,22.6,10.6,57337,0.016666667
99702,,2584,0.535216718,22.8,2.4,41063,0.016819572
85613,,5789,0.633788219,21.7,4.5,31073,0.017241379
66027,,5713,0.518291616,23.4,0,47214,0.019390582
62225,,5590,0.566010733,22.6,6.6,38628,0.019417476
44503,,914,0.675054705,41.3,0,10208,0.020253165
37402,8,3505,0.540656205,44,10.1,17429,0.021728395
94129,3,2787,0.520631503,31.4,44.2,71406,0.021759697
11239,,12879,0.369283329,43.4,4.1,38094,0.021797083
92055,1,12457,0.943003934,21.8,2,30209,0.02259887
06702,,2948,0.451492537,53.4,0,23750,0.022740193
08608,,921,0.347448426,37.6,0,16332,0.023640662
07505,,2376,0.478535354,36.8,2.7,22708,0.024159664
44702,,1014,0.431952663,47.2,0,23560,0.025242718
52801,,978,0.715746421,38.6,13.9,17679,0.026565465
63102,1,2216,0.743231047,33.6,29.9,44688,0.03030303
07608,,92,0.47826087,43.3,85.7,72500,0.03030303
62523,,906,0.714128035,36.3,0,8409,0.03030303
43217,,2593,0.524874663,22.8,2.9,22596,0.030748663
23511,1,8725,0.836905444,22.4,0.6,28611,0.032051282
10452,,74931,0.468898053,30.4,4.2,22157,0.032063479
90017,8,23755,0.541654389,29.7,10.5,17380,0.032970517
01840,,4547,0.471519683,36.8,11.3,24553,0.033238367
22134,,9072,0.682098765,22.6,20.8,35938,0.033630748
96769,,364,0.590659341,50.4,0,34375,0.034188034
02199,2,1273,0.435192459,46.8,74.5,105308,0.035322777
21402,1,6212,0.748390212,21.3,21.8,34828,0.037800687
84112,,1997,0.512268403,19.5,4.3,31250,0.037861915
01608,1,3558,0.439291737,27.2,10.6,20716,0.039175258
90057,,45392,0.538685231,32.5,4.9,16981,0.040506329
53233,1,15341,0.525650218,21.7,8.7,17719,0.041567952
10453,,79793,0.471958693,30.7,3.5,20731,0.042577271
10458,1,74859,0.47255507,29.2,4.6,24375,0.042717833
13202,2,5352,0.543721973,27.7,17.2,23310,0.045348294
39201,,467,0.736616702,31.3,21.3,31987,0.047619048
95202,,5404,0.499444856,35.6,0,16684,0.048448145
55402,2,426,0.638497653,32,84.1,66125,0.049853372
10454,,38089,0.476541784,29.3,4,21031,0.05061362
76908,,2618,0.765851795,21.5,5.6,33429,0.050724638
90401,10,6821,0.559448761,40,46.6,55421,0.051811096
73102,,3418,0.724107665,31.8,16.1,26405,0.052833814
75226,3,3265,0.552220521,34.7,48,37599,0.053191489
93624,,1377,0.562091503,28.5,0,20900,0.05362776
90028,6,28151,0.552768996,32.9,18,28738,0.053929431
20670,,1331,0.634861007,22.5,0,40625,0.055749129
29207,,10505,0.69328891,20.7,4.5,24075,0.058139535
20006,9,3049,0.526074123,20.2,12.6,52500,0.059633028
77081,,42725,0.549771796,29.3,8.5,19857,0.059855252
84022,,1046,0.487571702,22.5,0.9,45179,0.060498221
10456,,87723,0.470936926,30.3,4.3,22004,0.061413101
18701,,3198,0.479674797,21,1.7,26328,0.062370062
10457,,70282,0.467160866,29,4.7,22035,0.063181214
92401,1,2076,0.465317919,25.8,4.7,11715,0.063235294
40202,,6442,0.642812791,34.5,5.5,20971,0.064954128
10029,4,77454,0.472022103,33.5,16.6,32755,0.065696987
91210,1,651,0.58218126,26.1,37.5,91161,0.066964286
78236,,8562,0.759168419,20.7,3.6,25654,0.067204301
78205,9,1025,0.586341463,55.6,8.3,33664,0.069010417
10282,3,6217,0.561203153,33.9,39.6,158163,0.06954157
67202,1,1358,0.708394698,32.8,9.8,31125,0.071788413
98402,8,6848,0.607038551,32.4,13.1,30600,0.073053892
77467,,119,0.529411765,26.5,,,0.073529412
97001,,306,0.41503268,30.6,0,24917,0.073529412
12207,1,1879,0.589675359,35.2,0,18819,0.074552684
90005,,39548,0.524299585,33.8,5.7,20558,0.074781588
48933,8,2478,0.556497175,30.5,69.3,19881,0.075275398
48226,5,5370,0.598510242,40.1,34.7,39589,0.075622502
10474,,12519,0.495966131,29.1,3.2,22827,0.075765864
94704,5,24906,0.455954389,21.7,13.4,31340,0.076112557
03101,1,2940,0.544217687,36,22.6,45802,0.07635468
10032,,59374,0.48977667,34.5,19,26301,0.076478412
90006,,59498,0.518656089,33.6,7,16952,0.077342164
98950,,583,0.605488851,20.2,0,24141,0.077586207
