UANUM,UANAME,4 Week Rate,Latitude,Longitude,PredictedStationCount,DiffPredictActual,PredictedPeoplePerStation,Population,PredictedStationsPerHousehold
69517,"Pinehurst--Southern Pines, NC",1200.0,35.173888899999994,-79.3925,4.94,0.94,0.188,36272,0.00029944838455476754
69589,"Pipestone, MN",1130.0,44.000555600000006,-96.3172222,0.0,0.0,0.0,4098,0.0
69616,"Piqua, OH",3414.1818181818,40.144722200000004,-84.2425,0.08,0.08,0.08,21104,8.98069151324652e-06
69632,"Pittsboro, NC",16425.0,35.72,-79.1775,1.24,-0.76,-0.253333333,3410,0.0008163265306122449
69643,"Pittsburg, KS",895.8,37.4108333,-94.7047222,1.28,0.28,0.14,22918,0.00014112458654906286
69670,"Pittsburg, TX",5990.625,32.9952778,-94.9655556,0.0,0.0,0.0,4777,0.0
69697,"Pittsburgh, PA",42366.6666666667,40.4405556,-79.9961111,85.44,11.44,0.15253333300000002,1733853,0.0001156050593450129
69724,"Pittsfield, IL",2996.1538461539008,39.6077778,-90.805,0.08,0.08,0.08,4550,4.09626216077829e-05
69778,"Pittsfield, MA",6766.666666666701,42.45,-73.2458333,2.84,-0.16,-0.04,59124,0.00011153876364778886
69751,"Pittsfield, ME",2300.0,44.7825,-69.3838889,0.02,0.02,0.02,2523,2.4154589371980676e-05
69832,"Placerville--Diamond Springs, CA",72659.7083333333,38.6947222,-120.8138889,4.56,-0.44,-0.073333333,29700,0.0003988454473891367
69886,"Plain City, OH",3290.0,40.1075,-83.2675,0.0,0.0,0.0,4223,0.0
69940,"Plainview, MN",1702.8571428572,44.165,-92.17138890000001,0.08,0.08,0.08,3329,6.097560975609756e-05
69967,"Plainview, TX",1287.375,34.1847222,-101.70638890000001,0.3,0.3,0.3,25810,3.850102669404517e-05
70021,"Planada, CA",7955.0,37.290833299999996,-120.3175,0.0,0.0,0.0,4523,0.0
70102,"Platte City, MO",60467.5,39.3702778,-94.7822222,1.72,-0.28,-0.093333333,8958,0.00048273926466460847
