UA,UANAME,ZCTA5
28333,"Evansville, IN--KY Urbanized Area",47601
99999,Not in a 2010 urban area,47601
99999,Not in a 2010 urban area,47598
99999,Not in a 2010 urban area,47597
99999,Not in a 2010 urban area,47596
90703,"Vincennes, IN Urban Cluster",47591
99999,Not in a 2010 urban area,47591
99999,Not in a 2010 urban area,47590
99999,Not in a 2010 urban area,47588
86950,"Tell City, IN--KY Urban Cluster",47586
99999,Not in a 2010 urban area,47586
99999,Not in a 2010 urban area,47585
99999,Not in a 2010 urban area,47584
99999,Not in a 2010 urban area,47581
99999,Not in a 2010 urban area,47580
99999,Not in a 2010 urban area,47579
99999,Not in a 2010 urban area,47578
99999,Not in a 2010 urban area,47577
99999,Not in a 2010 urban area,47576
99999,Not in a 2010 urban area,47575
99999,Not in a 2010 urban area,47574
99999,Not in a 2010 urban area,47568
99999,Not in a 2010 urban area,47567
99999,Not in a 2010 urban area,47564
99999,Not in a 2010 urban area,47562
99999,Not in a 2010 urban area,47561
99999,Not in a 2010 urban area,47558
99999,Not in a 2010 urban area,47557
51337,"Loogootee, IN Urban Cluster",47553
99999,Not in a 2010 urban area,47553
99999,Not in a 2010 urban area,47552
99999,Not in a 2010 urban area,47551
99999,Not in a 2010 urban area,47550
42697,"Jasper, IN Urban Cluster",47546
99999,Not in a 2010 urban area,47546
40672,"Huntingburg, IN Urban Cluster",47542
99999,Not in a 2010 urban area,47542
99999,Not in a 2010 urban area,47541
99999,Not in a 2010 urban area,47537
99999,Not in a 2010 urban area,47536
99999,Not in a 2010 urban area,47535
99999,Not in a 2010 urban area,47532
99999,Not in a 2010 urban area,47531
99999,Not in a 2010 urban area,47529
7489,"Bicknell, IN Urban Cluster",47528
99999,Not in a 2010 urban area,47528
99999,Not in a 2010 urban area,47527
99999,Not in a 2010 urban area,47525
99999,Not in a 2010 urban area,47524
99999,Not in a 2010 urban area,47523
99999,Not in a 2010 urban area,47522
99999,Not in a 2010 urban area,47521
86950,"Tell City, IN--KY Urban Cluster",47520
99999,Not in a 2010 urban area,47520
99999,Not in a 2010 urban area,47519
99999,Not in a 2010 urban area,47516
99999,Not in a 2010 urban area,47515
99999,Not in a 2010 urban area,47514
99999,Not in a 2010 urban area,47513
7489,"Bicknell, IN Urban Cluster",47512
99999,Not in a 2010 urban area,47512
92296,"Washington, IN Urban Cluster",47501
99999,Not in a 2010 urban area,47501
99999,Not in a 2010 urban area,47471
99999,Not in a 2010 urban area,47470
99999,Not in a 2010 urban area,47469
99999,Not in a 2010 urban area,47468
99999,Not in a 2010 urban area,47467
99999,Not in a 2010 urban area,47465
99999,Not in a 2010 urban area,47464
6166,"Bedford, IN Urban Cluster",47462
99999,Not in a 2010 urban area,47462
99999,Not in a 2010 urban area,47460
99999,Not in a 2010 urban area,47459
99999,Not in a 2010 urban area,47458
99999,Not in a 2010 urban area,47457
99999,Not in a 2010 urban area,47456
99999,Not in a 2010 urban area,47455
67348,"Paoli, IN Urban Cluster",47454
99999,Not in a 2010 urban area,47454
99999,Not in a 2010 urban area,47453
99999,Not in a 2010 urban area,47452
6166,"Bedford, IN Urban Cluster",47451
99999,Not in a 2010 urban area,47451
99999,Not in a 2010 urban area,47449
99999,Not in a 2010 urban area,47448
6166,"Bedford, IN Urban Cluster",47446
57790,"Mitchell, IN Urban Cluster",47446
99999,Not in a 2010 urban area,47446
99999,Not in a 2010 urban area,47443
50149,"Linton, IN Urban Cluster",47441
99999,Not in a 2010 urban area,47441
99999,Not in a 2010 urban area,47438
99999,Not in a 2010 urban area,47437
99999,Not in a 2010 urban area,47436
99999,Not in a 2010 urban area,47434
99999,Not in a 2010 urban area,47433
99999,Not in a 2010 urban area,47432
99999,Not in a 2010 urban area,47431
8380,"Bloomington, IN Urbanized Area",47429
99999,Not in a 2010 urban area,47429
99999,Not in a 2010 urban area,47427
8326,"Bloomfield, IN Urban Cluster",47424
99999,Not in a 2010 urban area,47424
6166,"Bedford, IN Urban Cluster",47421
99999,Not in a 2010 urban area,47421
6166,"Bedford, IN Urban Cluster",47420
99999,Not in a 2010 urban area,47420
8380,"Bloomington, IN Urbanized Area",47408
99999,Not in a 2010 urban area,47408
8380,"Bloomington, IN Urbanized Area",47406
8380,"Bloomington, IN Urbanized Area",47405
8380,"Bloomington, IN Urbanized Area",47404
99999,Not in a 2010 urban area,47404
8380,"Bloomington, IN Urbanized Area",47403
99999,Not in a 2010 urban area,47403
8380,"Bloomington, IN Urbanized Area",47401
99999,Not in a 2010 urban area,47401
60625,"Muncie, IN Urbanized Area",47396
99999,Not in a 2010 urban area,47396
96022,"Winchester, IN Urban Cluster",47394
99999,Not in a 2010 urban area,47394
99999,Not in a 2010 urban area,47393
89515,"Union City, IN--OH Urban Cluster",47390
99999,Not in a 2010 urban area,47390
99999,Not in a 2010 urban area,47388
99999,Not in a 2010 urban area,47387
99999,Not in a 2010 urban area,47386
45532,"Knightstown, IN Urban Cluster",47385
99999,Not in a 2010 urban area,47385
99999,Not in a 2010 urban area,47384
60625,"Muncie, IN Urbanized Area",47383
99999,Not in a 2010 urban area,47383
99999,Not in a 2010 urban area,47382
99999,Not in a 2010 urban area,47381
99999,Not in a 2010 urban area,47380
74638,"Richmond, IN--OH Urban Cluster",47374
99999,Not in a 2010 urban area,47374
24985,"Dunkirk, IN Urban Cluster",47373
99999,Not in a 2010 urban area,47373
71236,"Portland, IN Urban Cluster",47371
99999,Not in a 2010 urban area,47371
99999,Not in a 2010 urban area,47369
60625,"Muncie, IN Urbanized Area",47368
99999,Not in a 2010 urban area,47368
99999,Not in a 2010 urban area,47367
62137,"New Castle, IN Urban Cluster",47362
99999,Not in a 2010 urban area,47362
99999,Not in a 2010 urban area,47361
99999,Not in a 2010 urban area,47360
99999,Not in a 2010 urban area,47359
99999,Not in a 2010 urban area,47358
12889,"Cambridge City, IN Urban Cluster",47357
99999,Not in a 2010 urban area,47357
56872,"Middletown, IN Urban Cluster",47356
99999,Not in a 2010 urban area,47356
99999,Not in a 2010 urban area,47355
99999,Not in a 2010 urban area,47354
99999,Not in a 2010 urban area,47353
45532,"Knightstown, IN Urban Cluster",47352
99999,Not in a 2010 urban area,47352
99999,Not in a 2010 urban area,47351
37324,"Hartford City, IN Urban Cluster",47348
99999,Not in a 2010 urban area,47348
99999,Not in a 2010 urban area,47346
99999,Not in a 2010 urban area,47345
99999,Not in a 2010 urban area,47344
99999,Not in a 2010 urban area,47342
99999,Not in a 2010 urban area,47341
99999,Not in a 2010 urban area,47340
99999,Not in a 2010 urban area,47339
99999,Not in a 2010 urban area,47338
45532,"Knightstown, IN Urban Cluster",47337
99999,Not in a 2010 urban area,47337
24985,"Dunkirk, IN Urban Cluster",47336
99999,Not in a 2010 urban area,47336
12889,"Cambridge City, IN Urban Cluster",47335
99999,Not in a 2010 urban area,47335
2386,"Anderson, IN Urbanized Area",47334
99999,Not in a 2010 urban area,47334
19693,"Connersville, IN Urban Cluster",47331
99999,Not in a 2010 urban area,47331
74638,"Richmond, IN--OH Urban Cluster",47330
99999,Not in a 2010 urban area,47330
12889,"Cambridge City, IN Urban Cluster",47327
99999,Not in a 2010 urban area,47327
99999,Not in a 2010 urban area,47326
99999,Not in a 2010 urban area,47325
99999,Not in a 2010 urban area,47324
99999,Not in a 2010 urban area,47320
60625,"Muncie, IN Urbanized Area",47306
60625,"Muncie, IN Urbanized Area",47305
60625,"Muncie, IN Urbanized Area",47304
99999,Not in a 2010 urban area,47304
60625,"Muncie, IN Urbanized Area",47303
99999,Not in a 2010 urban area,47303
60625,"Muncie, IN Urbanized Area",47302
99999,Not in a 2010 urban area,47302
99999,Not in a 2010 urban area,47283
63865,"North Vernon, IN Urban Cluster",47282
99999,Not in a 2010 urban area,47282
99999,Not in a 2010 urban area,47281
19126,"Columbus, IN Urbanized Area",47280
99999,Not in a 2010 urban area,47280
80794,"Seymour, IN Urban Cluster",47274
99999,Not in a 2010 urban area,47274
99999,Not in a 2010 urban area,47273
99999,Not in a 2010 urban area,47272
99999,Not in a 2010 urban area,47270
63865,"North Vernon, IN Urban Cluster",47265
99999,Not in a 2010 urban area,47265
99999,Not in a 2010 urban area,47264
5572,"Batesville, IN Urban Cluster",47263
99999,Not in a 2010 urban area,47263
99999,Not in a 2010 urban area,47260
53092,"Madison, IN--KY Urban Cluster",47250
99999,Not in a 2010 urban area,47250
99999,Not in a 2010 urban area,47247
99999,Not in a 2010 urban area,47246
99999,Not in a 2010 urban area,47244
53092,"Madison, IN--KY Urban Cluster",47243
99999,Not in a 2010 urban area,47243
5572,"Batesville, IN Urban Cluster",47240
35191,"Greensburg, IN Urban Cluster",47240
99999,Not in a 2010 urban area,47240
99999,Not in a 2010 urban area,47235
99999,Not in a 2010 urban area,47234
99999,Not in a 2010 urban area,47232
99999,Not in a 2010 urban area,47231
99999,Not in a 2010 urban area,47230
99999,Not in a 2010 urban area,47229
99999,Not in a 2010 urban area,47227
99999,Not in a 2010 urban area,47226
99999,Not in a 2010 urban area,47224
99999,Not in a 2010 urban area,47223
10918,"Brownstown, IN Urban Cluster",47220
99999,Not in a 2010 urban area,47220
19126,"Columbus, IN Urbanized Area",47203
99999,Not in a 2010 urban area,47203
19126,"Columbus, IN Urbanized Area",47201
99999,Not in a 2010 urban area,47201
99999,Not in a 2010 urban area,47177
99999,Not in a 2010 urban area,47175
51755,"Louisville/Jefferson County, KY--IN Urbanized Area",47172
99999,Not in a 2010 urban area,47172
80119,"Scottsburg, IN Urban Cluster",47170
99999,Not in a 2010 urban area,47170
78121,"Salem, IN Urban Cluster",47167
99999,Not in a 2010 urban area,47167
99999,Not in a 2010 urban area,47166
99999,Not in a 2010 urban area,47165
99999,Not in a 2010 urban area,47164
99999,Not in a 2010 urban area,47163
