Unnamed: 0,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation,MarketSize,LatitudeAug
684,18856,"Colorado Springs, CO",559409,38.8338889,-104.8208333,13625,528.5714286,25.78571429,4.785714286,2677.171643,22.5,15,7.5,0.46875,216129,9605.733333,Medium,38.84311704
2456,66673,"Oxnard, CA",367260,34.1975,-119.1761111,255338.125,156.25,417.2083333,3.000416667,1101.933025,22.22,24,-1.78,-0.0712,112934,5082.538254,Medium,34.19831167
857,23500,"Denton--Lewisville, TX",366174,33.0461111,-96.9938889,50775,400,155.5,3,1098.522,22.08,32,-9.92,-0.300606061,132377,5995.335145,Medium,33.05503779
3165,86464,"Tallahassee, FL",240223,30.4380556,-84.2808333,8700,580,16.6,4.9,1177.0927,21.88,6,15.88,2.268571429,96685,4418.875686,Medium,30.44536775
576,15832,"Chattanooga, TN--GA",381112,35.0455556,-85.3097222,7438.888889,666.6666667,14,2.888888889,1100.990222,21.72,31,-9.28,-0.29,152875,7038.443831,Medium,35.05352411
3158,86302,"Syracuse, NY",412317,43.0480556,-76.1477778,2875,600,5.5,10.5,4329.3285,20.9,24,-3.1,-0.124,164123,7852.77512,Medium,43.05240247
819,22528,"Dayton, OH",724091,39.7588889,-84.1916667,44208.33333,1111.111111,42.22222222,4.333333333,3137.727667,20.8,20,0.8,0.038095238,297023,14279.95192,Medium,39.76742549
815,22420,"Davis, CA",72794,38.545,-121.7394444,72659.70833,156.25,119.5,3.673333333,267.3966267,20.48,30,-9.52,-0.307096774,25315,1236.083984,Small,38.54621398
38,1171,"Albuquerque, NM",741318,35.0844444,-106.6505556,17200,250,70,4.5,3335.931,19.9,15,4.9,0.30625,293235,14735.42714,Medium,35.08901441
3501,95833,"Wilmington, NC",219957,34.2255556,-77.945,5200,300,18,8,1759.656,19.76,6,13.76,1.965714286,93732,4743.522267,Medium,34.23159389
3553,97291,"Worcester, MA--CT",486514,42.2625,-71.8027778,3750,600,6,3,1459.542,19.7,31,-11.3,-0.353125,184773,9379.340102,Medium,42.26723831
1449,39430,"Holland, MI",99941,42.7875,-86.1088889,3020,280,11.8,11,1099.351,19.66,27,-7.34,-0.262142857,35605,1811.03764,Small,42.79103
3197,87490,"Thousand Oaks, CA",214811,35.1188889,-120.5938889,6351.75,700,10,7.75,1664.78525,19.56,36,-16.44,-0.444324324,75283,3848.824131,Medium,35.12034262
2299,62677,"New Orleans, LA",899703,29.9544444,-90.075,20000,200,100,7,6297.921,19.54,16,3.54,0.208235294,360290,18438.58751,Medium,29.95860463
966,27253,"El Paso, TX--NM",803086,31.7586111,-106.4863889,20832,1040,22.6,3,2409.258,19.46,23,-3.54,-0.1475,254446,13075.33402,Medium,31.76319683
1257,34300,"Grand Rapids, MI",569935,42.9633333,-85.6680556,18370,440,45,5.2,2963.662,19.06,20,-0.94,-0.044761905,217106,11390.66107,Medium,42.96792193
561,15508,"Charleston--North Charleston, SC",548404,32.7763889,-79.9311111,4800,200,24,12,6580.848,18.64,15,3.64,0.2275,216287,11603.37983,Medium,32.77994838
3,199,"Aberdeen--Bel Air South--Bel Air North, MD",213751,39.519347,-76.185598,122361.3125,156.25,205.6875,8.914375,1905.456571,18.64,12,6.64,0.510769231,79703,4275.912017,Medium,39.52542121
2638,71803,"Poughkeepsie--Newburgh, NY--NJ",423566,40.058324,-74.405661,19712.5,475,41.375,5.75,2435.5045,18.58,18,0.58,0.030526316,147233,7924.273412,Medium,40.0631401
2391,64945,"Ogden--Layton, UT",546026,41.0602778,-111.9702778,8966.666667,266.6666667,34.66666667,6.666666667,3640.173333,18.18,9,9.18,0.918,177522,9764.686469,Medium,41.06520747
1168,31843,"Fresno, CA",654628,36.7477778,-119.7713889,32460.75,700,54,7.5,4909.71,18.04,10,8.04,0.730909091,212810,11796.56319,Medium,36.74974993
2849,79093,"San Juan, PR",2148346,18.4683333,-66.1061111,7500,400,19,6,12890.076,17.76,0,17.76,17.76,719995,40540.25901,Large,18.47215641
1361,37081,"Harrisburg, PA",444474,40.2736111,-76.8847222,25125,485.7142857,52.14285714,6.571428571,2920.829143,17.54,15,2.54,0.15875,182168,10385.86089,Medium,40.28029433
2882,79768,"Savannah, GA",260677,32.0833333,-81.1,14080,380,41.5,5.1,1329.4527,17.52,14,3.52,0.234666667,100002,5707.876712,Medium,32.08422192
1844,49933,"Lincoln, NE",258719,40.8,-96.6666667,1482.75,650,2.5,6.75,1746.35325,17.46,1,16.46,8.23,105310,6031.500573,Medium,40.80516495
23,766,"Akron, OH",569499,41.0813889,-81.5191667,110788.5625,156.25,182.25,6.158125,3507.046029,17.34,18,-0.66,-0.034736842,230922,13317.30104,Medium,41.08189852
2719,74179,"Reno, NV--CA",392141,39.5297222,-119.8127778,20514.8125,156.25,33.5,6.166875,2418.284529,17.3,19,-1.7,-0.085,151623,8764.33526,Medium,39.53395486
3232,88462,"Trenton, NJ",296668,40.2169444,-74.7433333,19712.5,475,41.375,5.75,1705.841,17.1,10,7.1,0.645454545,106375,6220.760234,Medium,40.2256059
2472,67105,"Palm Bay--Melbourne, FL",452791,28.0833333,-80.6083333,23625,250,90.25,3,1358.373,16.76,19,-2.24,-0.112,182519,10890.15513,Medium,28.0859566
187,5167,"Barnstable Town, MA",246695,41.700321,-70.300202,19200,500,42.25,3.25,801.75875,16.72,20,-3.28,-0.156190476,105368,6301.913876,Medium,41.7093206
1760,47611,"Lancaster--Palmdale, CA",341219,34.5794444,-118.1155556,255338.125,156.25,417.2083333,3.000416667,1023.799175,16.66,22,-5.34,-0.232173913,99413,5967.166867,Medium,34.58674953
2624,71263,"Portland, ME",203914,43.6613889,-70.2558333,2300,200,12,4,815.656,16.52,18,-1.48,-0.077894737,88505,5357.445521,Medium,43.66988396
3249,88948,"Tulsa, OK",655479,36.1538889,-95.9925,15211.76471,564.7058824,29.47058824,3.647058824,2390.570471,16.16,10,6.16,0.56,260028,16090.84158,Medium,36.15882016
2245,60799,"Murrieta--Temecula--Menifee, CA",441546,33.7283333,-117.1455556,29980,560,79.2,2.2,971.4012,16.12,13,3.12,0.222857143,137388,8522.828784,Medium,33.73063171
369,9946,"Bremerton, WA",198979,47.5675,-122.6313889,151865.05,142.5,261,6.6745,1328.085336,15.74,19,-3.26,-0.163,77580,4928.84371,Medium,47.57000509
431,11755,"Burlington, VT",108740,44.4758333,-73.2125,2478.571429,457.1428571,5.857142857,7.714285714,838.8514286,15.72,23,-7.28,-0.303333333,44106,2805.725191,Medium,44.48554819
2396,65080,"Oklahoma City, OK",861505,35.4675,-97.5161111,7400,533.3333333,14.33333333,19.33333333,16655.76333,15.72,14,1.72,0.114666667,338401,21526.78117,Medium,35.47170138
740,20422,"Corvallis, OR",62433,44.5647222,-123.2608333,600,200,3,4,249.732,15.54,21,-5.46,-0.248181818,24296,1563.449163,Small,44.56677272
2032,55603,"Mauldin--Simpsonville, SC",120577,34.7369444,-82.2544444,1800,800,2.5,7,844.039,15.3,19,-3.7,-0.185,45385,2966.339869,Medium,34.74684406
2361,64135,"Norwich--New London, CT--RI",209190,41.424024,-71.861409,3830,466.6666667,8.333333333,4,836.76,15.04,15,0.04,0.0025,83095,5524.933511,Medium,41.43340283
3034,83764,"Spokane, WA",387847,47.6588889,-117.425,14843.18182,727.2727273,22.27272727,5.090909091,1974.493818,14.82,7,7.82,0.9775,157008,10594.33198,Medium,47.66773707
2796,76474,"Round Lake Beach--McHenry--Grayslake, IL--WI",290373,43.78444,-88.787868,153087.5,500,315.375,4.25,1234.08525,14.82,16,-1.18,-0.069411765,102387,6908.704453,Medium,43.78588174
205,5680,"Baton Rouge, LA",594309,30.4505556,-91.1544444,30347.75,1000,31.75,4,2377.236,14.8,9,5.8,0.58,223446,15097.7027,Medium,30.45270056
1763,47530,"Lancaster, PA",402004,40.0377778,-76.3058333,19967.41667,466.6666667,42.83333333,9.916666667,3986.539667,14.4,13,1.4,0.1,156573,10873.125,Medium,40.04199349
2899,80362,"Seaside--Monterey, CA",114237,36.6002778,-121.8936111,114990.5769,149.0384615,193.8846154,3.433461539,392.2283458,14.28,20,-5.72,-0.272380952,45720,3201.680672,Medium,36.6089485
2896,80227,"Scranton, PA",381502,41.4088889,-75.6627778,51600,766.6666667,62.83333333,4.833333333,1843.926333,14.26,5,9.26,1.543333333,156327,10962.62272,Medium,41.41056535
1603,43615,"Kahului, HI",55934,20.8947222,-156.47,114990.5769,149.0384615,193.8846154,3.433461539,192.0472377,14.26,23,-8.74,-0.364166667,16442,1153.015428,Small,20.89567284
1608,43723,"Kalamazoo, MI",209703,42.2916667,-85.5872222,34342.85714,471.4285714,76.42857143,4.857142857,1018.557429,14.24,17,-2.76,-0.153333333,84792,5954.494382,Medium,42.30085287
3211,87868,"Toledo, OH--MI",507643,41.6638889,-83.5552778,16866.53846,784.6153846,20,3.923076923,1991.522538,14.12,5,9.12,1.52,205067,14523.15864,Medium,41.66708632
864,23743,"Des Moines, IA",450070,41.6005556,-93.6088889,36386.5625,156.25,59.5625,6.965,3134.73755,13.96,14,-0.04,-0.002666667,181323,12988.75358,Medium,41.60878292
2402,65269,"Omaha, NE--IA",725008,41.2586111,-95.9375,900,200,5,6,4350.048,13.9,10,3.9,0.354545455,283923,20426.11511,Medium,41.26472424
718,19755,"Conroe--The Woodlands, TX",239938,30.1577778,-95.4891667,69809.72222,145.8333333,125.9444444,2.577222222,618.3735456,13.88,14,-0.12,-0.008,87283,6288.400576,Medium,30.16600067
3028,83548,"Spartanburg, SC",180786,34.9494444,-81.9322222,3712.5,300,13,4,723.144,13.86,23,-9.14,-0.380833333,69136,4988.167388,Medium,34.95938795
2242,60733,"Murfreesboro, TN",133228,35.8455556,-86.3902778,21600,500,43.9375,2.8125,374.70375,13.56,18,-4.44,-0.233684211,51143,3771.60767,Medium,35.85528817
131,3763,"Athens-Clarke County, GA",128754,33.951935,-83.357567,1000,200,5,4,515.016,13.36,18,-4.64,-0.244210526,45131,3378.068862,Medium,33.96038323
803,22096,"Danbury, CT--NY",168136,41.3947222,-73.4544444,11742.5,200,59,8.25,1387.122,13.3,14,-0.7,-0.046666667,61144,4597.293233,Medium,41.39663938
1078,29494,"Fayetteville--Springdale--Rogers, AR--MO",295083,37.964253,-91.831833,1875,200,9.5,17.5,5163.9525,13.3,13,0.3,0.021428571,113098,8503.609023,Medium,37.96492627
2666,72559,"Provo--Orem, UT",482819,40.2969444,-111.6938889,8966.666667,266.6666667,34.66666667,6.666666667,3218.793333,12.94,10,2.94,0.267272727,133706,10332.76662,Medium,40.30561654
1858,50392,"Little Rock, AR",431388,36.2716667,-93.8661111,5100,1000,5.25,7.25,3127.563,12.86,14,-1.14,-0.076,172031,13377.21617,Medium,36.2764503
3293,90028,"Vallejo, CA",165074,38.1041667,-122.2555556,114990.5769,149.0384615,193.8846154,3.433461539,566.77523,12.76,12,0.76,0.058461538,57691,4521.238245,Medium,38.10599516
2833,78310,"Salinas, CA",184809,36.6777778,-121.6544444,10606.25,500,23.5,5,924.045,12.72,16,-3.28,-0.192941176,51103,4017.531447,Medium,36.68245092
1162,31600,"Fredericksburg, VA",141238,38.3030556,-77.4608333,342597.875,156.25,556.5652174,11.01416667,1555.618872,12.68,3,9.68,2.42,50246,3962.618297,Medium,38.30921908
494,13510,"Cape Coral, FL",530290,26.5625,-81.9497222,16800,575,32.625,5.625,2982.88125,12.6,10,2.6,0.236363636,204432,16224.7619,Medium,26.56782416
553,15211,"Champaign, IL",145361,40.1163889,-88.2433333,2500,200,13,6,872.166,12.36,4,8.36,1.672,57574,4658.090615,Medium,40.12563664
2058,55981,"Medford, OR",154081,42.3266667,-122.8744444,3151,300,10.5,4,616.324,12.34,15,-2.66,-0.16625,62949,5101.215559,Medium,42.32832396
113,3196,"Arroyo Grande--Grover Beach, CA",52000,35.1216667,-120.6202778,6351.75,700,10,7.75,403,12.08,14,-1.92,-0.128,21753,1800.745033,Small,35.12308335
