Location,Code,Location2,Code2
Gainesville FL (CBSA),#ERROR!,"Gainesville , FL","29.6513889,-82.325"
Kerrville TX (CBSA),#ERROR!,"Kerrville , TX","30.0472222,-99.14"
Fredericksburg TX (CBSA),#ERROR!,"Fredericksburg , TX","30.275,-98.8716667"
Gulfport-Biloxi MS (CBSA),#ERROR!,"Gulfport-Biloxi , MS","30.3958333,-88.8852778"
Pensacola-Ferry Pass-Brent FL (CBSA),#ERROR!,"Pensacola-Ferry Pass-Brent , FL","30.4686111,-87.2361111"
Hammond LA (CBSA),#ERROR!,"Hammond , LA","30.5041667,-90.4611111"
San Angelo TX (CBSA),#ERROR!,"San Angelo , TX","31.4636111,-100.4366667"
Jackson MS (DMA),#ERROR!,"Jackson , MS","32.2986111,-90.1847222"
Vicksburg MS (CBSA),#ERROR!,"Vicksburg , MS","32.3525,-90.8777778"
Montgomery AL (CBSA),#ERROR!,"Montgomery , AL","32.3666667,-86.3"
Columbus GA (DMA),#ERROR!,"Columbus , GA","32.4608333,-84.9877778"
Silver City NM (CBSA),#ERROR!,"Silver City , NM","32.77,-108.2797222"
Carlsbad-Artesia NM (CBSA),#ERROR!,"Carlsbad-Artesia , NM","32.8422222,-104.4027778"
San Diego-Carlsbad-San Marcos CA (CBSA),#ERROR!,"San Diego-Carlsbad-San Marcos , CA","33.1433333,-117.1652778"
Greenville MS (CBSA),#ERROR!,"Greenville , MS","33.41,-91.0616667"
Phoenix AZ (DMA),#ERROR!,"Phoenix , AZ","33.4483333,-112.0733333"
Starkville MS (CBSA),#ERROR!,"Starkville , MS","33.4502778,-88.8183333"
Indianola MS (CBSA),#ERROR!,"Indianola , MS","33.4508333,-90.655"
Columbus MS (CBSA),#ERROR!,"Columbus , MS","33.4955556,-88.4272222"
Killeen-Temple-Fort Hood TX (CBSA),#ERROR!,"Killeen-Temple-Fort Hood , TX","33.5427778,-97.3488889"
Myrtle Beach-Conway-North Myrtle Beach SC (CBSA),#ERROR!,"Myrtle Beach-Conway-North Myrtle Beach , SC","33.6888889,-78.8869444"
Cleveland MS (CBSA),#ERROR!,"Cleveland , MS","33.7438889,-90.7247222"
Los Angeles-Long Beach-Anaheim CA (CBSA),#ERROR!,"Los Angeles-Long Beach-Anaheim , CA","33.8352778,-117.9136111"
Columbia SC (CBSA),#ERROR!,"Columbia , SC","34.0005556,-81.035"
Cedartown GA (CBSA),#ERROR!,"Cedartown , GA","34.0536111,-85.255"
Plainview TX (CBSA),#ERROR!,"Plainview , TX","34.1847222,-101.7063889"
Pine Bluff AR (CBSA),#ERROR!,"Pine Bluff , AR","34.2283333,-92.0030556"
Tupelo MS (CBSA),#ERROR!,"Tupelo , MS","34.2575,-88.7033333"
Hot Springs AR (CBSA),#ERROR!,"Hot Springs , AR","34.5036111,-93.055"
Florence-Muscle Shoals AL (CBSA),#ERROR!,"Florence-Muscle Shoals , AL","34.7447222,-87.6675"
Laurinburg NC (CBSA),#ERROR!,"Laurinburg , NC","34.7738889,-79.4630556"
McAlester OK (CBSA),#ERROR!,"McAlester , OK","34.9333333,-95.7694444"
Corinth MS (CBSA),#ERROR!,"Corinth , MS","34.9341667,-88.5222222"
New Bern NC (CBSA),#ERROR!,"New Bern , NC","35.1083333,-77.0444444"
Brevard NC (CBSA),#ERROR!,"Brevard , NC","35.2333333,-82.7344444"
Shawnee OK (CBSA),#ERROR!,"Shawnee , OK","35.3272222,-96.925"
