"UANUM","UANAME","Population","Latitude","Longitude","4 Week Rate","4 Week TRP","CPP","CPM"
78661,"San Diego, CA",2956746,32.7152778,-117.1563889,62375.0,300.0,212.0,7.5
78688,"San Diego, TX",4757,27.763611100000002,-98.23861109999999,10655.5384615385,846.1538461538,13.3846153846,3.8461538462
78904,"San Francisco--Oakland, CA",3281212,37.804444399999994,-122.2697222,114990.576923077,149.0384615385,193.88461538459998,3.4334615385
78985,"San Germ�n--Cabo Rojo--Sabana Grande, PR",118199,18.0797222,-66.9608333,7500.0,400.0,19.0,6.0
79012,"San Joaquin, CA",3983,36.6066667,-120.18805559999998,8432.0,800.0,10.833333333299999,8.0
79039,"San Jose, CA",1664496,37.3394444,-121.8938889,114990.576923077,149.0384615385,193.88461538459998,3.4334615385
79093,"San Juan, PR",2148346,18.4683333,-66.1061111,7500.0,400.0,19.0,6.0
79147,"San Luis Obispo, CA",59219,35.2827778,-120.6586111,6351.75,700.0,10.0,7.75
79120,"San Luis, AZ",24091,32.4869444,-114.7813889,6810.0,573.3333333333001,13.333333333299999,7.333333333300001
79174,"San Manuel, AZ",3185,32.5997222,-110.63027779999999,23490.7619047619,142.8571428571,40.5714285714,4.4504761905
79201,"San Marcos, TX",52826,29.883055600000006,-97.94111109999999,58266.6666666667,866.6666666666999,78.1666666667,4.8333333333
79255,"San Saba, TX",3105,31.195555600000006,-98.7177778,2400.0,200.0,12.0,36.0
78634,"Sandersville, GA",7288,32.9813889,-82.8102778,1125.0,300.0,4.0,7.0
78715,"Sandpoint, ID",10840,48.2766667,-116.5522222,14843.1818181818,727.2727272727001,22.2727272727,5.090909090899999
78742,"Sandusky, MI",2775,43.4202778,-82.8297222,7500.0,400.0,19.0,5.0
78769,"Sandusky, OH",48990,41.4488889,-82.7080556,1620.0,500.0,3.75,7.5
78823,"Sandy, OR",9954,45.3975,-122.2602778,46783.5,1100.0,46.7,2.1
78850,"Sanford, ME",13584,43.4391667,-70.77472220000001,2300.0,200.0,12.0,4.0
78877,"Sanford, NC",33120,35.4797222,-79.1805556,1200.0,400.0,3.0,6.0
78931,"Sanger, CA",26604,36.7080556,-119.555,32460.75,700.0,54.0,7.5
78958,"Sanger, TX",5972,33.3630556,-97.17361109999999,50775.0,400.0,155.5,3.0
79282,"Santa Barbara, CA",195861,34.4208333,-119.69722220000001,44720.181818181794,945.4545454545,47.818181818199996,8.0
